Country,Localite,Category,Value,Date,Sources
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,04/2014,Ministere de la Sante
Guinea,National,Cases,197,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,101,04/2014,Ministere de la Sante
Guinea,National,Deaths,122,04/2014,Ministere de la Sante
Guinea,National,Probable cases,43,04/2014,Ministere de la Sante
Guinea,National,Suspected cases,53,04/2014,Ministere de la Sante
Liberia,Bong County,Cases,5,04/2014,UNICEF
Liberia,Bong County,Deaths,0,04/2014,UNICEF
Liberia,Grand Cape Mount,Cases,1,04/2014,UNICEF
Liberia,Grand Cape Mount,Deaths,0,04/2014,UNICEF
Liberia,Lofa County,Cases,10,04/2014,UNICEF
Liberia,Lofa County,Deaths,9,04/2014,UNICEF
Liberia,Margibi County,Cases,6,04/2014,UNICEF
Liberia,Margibi County,Deaths,2,04/2014,UNICEF
Liberia,Montserrado County,Cases,1,04/2014,UNICEF
Liberia,Montserrado County,Deaths,1,04/2014,UNICEF
Liberia,National,Cases,27,04/2014,UNICEF
Liberia,National,Confirmed cases,6,04/2014,UNICEF
Liberia,National,Deaths,13,04/2014,UNICEF
Liberia,Nimba County,Cases,4,04/2014,UNICEF
Liberia,Nimba County,Deaths,1,04/2014,UNICEF
Guinea,Conakry,Cases,50,04/2014,Ministere de la Sante
Guinea,Conakry,Deaths,20,04/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,04/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,04/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,120,04/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,83,04/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,04/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,04/2014,Ministere de la Sante
Guinea,National,Cases,203,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,109,04/2014,Ministere de la Sante
Guinea,National,Deaths,129,04/2014,Ministere de la Sante
Liberia,National,Cases,27,04/2014,Gvt
Liberia,National,Confirmed cases,6,04/2014,Gvt
Liberia,National,Deaths,13,04/2014,Gvt
Guinea,Conakry,Cases,53,04/2014,Ministere de la Sante
Guinea,Conakry,Deaths,23,04/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,04/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,04/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,122,04/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,87,04/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,04/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,04/2014,Ministere de la Sante
Guinea,National,Cases,208,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,112,04/2014,Ministere de la Sante
Guinea,National,Deaths,136,04/2014,Ministere de la Sante
Liberia,National,Cases,27,04/2014,UNICEF
Liberia,National,Confirmed cases,6,04/2014,UNICEF
Liberia,National,Deaths,13,04/2014,UNICEF
Guinea,Conakry,Cases,58,04/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,04/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,04/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,04/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,127,04/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,91,04/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,04/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,04/2014,Ministere de la Sante
Guinea,National,Cases,218,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,115,04/2014,Ministere de la Sante
Guinea,National,Deaths,141,04/2014,Ministere de la Sante
Liberia,Bong County,Cases,6,04/2014,Gvt
Liberia,Bong County,Deaths,0,04/2014,Gvt
Liberia,Grand Cape Mount,Cases,1,04/2014,Gvt
Liberia,Grand Cape Mount,Deaths,0,04/2014,Gvt
Liberia,Grand Gedeh,Cases,3,04/2014,Gvt
Liberia,Grand Gedeh,Deaths,0,04/2014,Gvt
Liberia,Lofa County,Cases,11,04/2014,Gvt
Liberia,Lofa County,Deaths,7,04/2014,Gvt
Liberia,Margibi County,Cases,4,04/2014,Gvt
Liberia,Margibi County,Deaths,3,04/2014,Gvt
Liberia,Montserrado County,Cases,3,04/2014,Gvt
Liberia,Montserrado County,Deaths,1,04/2014,Gvt
Liberia,National,Cases,35,04/2014,Gvt
Liberia,National,Confirmed cases,6,04/2014,Gvt
Liberia,National,Deaths,11,04/2014,Gvt
Liberia,Nimba County,Cases,7,04/2014,Gvt
Liberia,Nimba County,Deaths,0,04/2014,Gvt
Liberia,National,Cases,35,04/2014,WHO
Liberia,National,Confirmed cases,6,04/2014,WHO
Liberia,National,Deaths,11,04/2014,WHO
Guinea,Conakry,Cases,60,04/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,04/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,04/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,04/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,04/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,131,04/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,93,04/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,04/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,04/2014,Ministere de la Sante
Guinea,National,Cases,224,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,121,04/2014,Ministere de la Sante
Guinea,National,Deaths,143,04/2014,Ministere de la Sante
Guinea,Conakry,Cases,53,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
