,Country,Date,Cases,Confirmed cases,Deaths,New cases,Probable cases,Suspected cases
0,Guinea,03/2014,96.6,24.0,66.16666666666667,,78.0,19.0
1,Guinea,04/2014,59.62068965517241,89.75,40.42307692307692,,38.5,53.5
2,Guinea,05/2014,67.48275862068965,136.875,45.36206896551724,,,
3,Guinea,06/2014,81.57971014492753,247.0,54.69565217391305,,,
4,Guinea,07/2014,417.0,302.4,312.2,,,
5,Guinea,08/2014,92.88359788359789,73.33333333333333,63.67816091954023,3.627906976744186,18.37837837837838,
6,Guinea,09/2014,100.10457516339869,79.80392156862744,62.971677559912855,2.0610021786492374,16.59259259259259,3.708061002178649
7,Guinea,10/2014,126.16859504132232,100.62442748091603,74.8099173553719,2.1404580152671757,15.98512396694215,5.532231404958678
8,Guinea,11/2014,153.17816091954023,131.40613026819923,92.22222222222223,2.0996503496503496,16.70689655172414,5.065134099616858
9,Liberia,04/2014,10.529411764705882,5.555555555555555,4.617647058823529,,,
10,Liberia,05/2014,4.545454545454546,6.0,11.0,,,
11,Liberia,06/2014,15.0,21.3,15.16,,,
12,Liberia,07/2014,192.44444444444446,73.77777777777777,109.55555555555556,,,
13,Liberia,08/2014,211.64968152866243,49.2972972972973,118.54777070063695,9.969696969696969,90.50980392156863,
14,Liberia,09/2014,370.88947368421054,103.64736842105263,201.24725274725276,8.610526315789473,168.3842105263158,99.8415300546448
15,Liberia,10/2014,628.63,203.40972222222223,302.435,5.447916666666667,218.32638888888889,235.11111111111111
16,Liberia,11/2014,852.484375,321.25,355.859375,4.953125,210.9375,320.296875
17,Mali,10/2014,0.46153846153846156,0.4230769230769231,0.34615384615384615,0.07692307692307693,0.0,0.0
18,Mali,11/2014,0.967741935483871,0.7741935483870968,0.8064516129032258,0.06451612903225806,0.16129032258064516,0.0
19,Nigeria,07/2014,,,1.0,,,
20,Nigeria,08/2014,14.821428571428571,10.1,4.571428571428571,2.1666666666666665,0.7,
21,Nigeria,09/2014,13.666666666666666,12.642857142857142,5.285714285714286,0.23809523809523808,0.6666666666666666,0.2564102564102564
22,Senegal,08/2014,1.0,1.0,,,,
23,Senegal,09/2014,1.0588235294117647,0.9032258064516129,0.0,0.13793103448275862,0.0,0.4482758620689655
24,Sierra Leone,05/2014,15.285714285714286,7.25,3.0,,,22.0
25,Sierra Leone,06/2014,46.06896551724138,89.0,14.03448275862069,,,
26,Sierra Leone,07/2014,403.44444444444446,347.55555555555554,182.55555555555554,,,
27,Sierra Leone,08/2014,147.3116883116883,132.4678899082569,60.064935064935064,5.768421052631579,5.0,
28,Sierra Leone,09/2014,242.56533333333334,212.10133333333334,71.16266666666667,6.216666666666667,4.736,18.069333333333333
29,Sierra Leone,10/2014,495.53972602739725,430.8876712328767,166.6054794520548,9.024657534246575,6.5479452054794525,58.104109589041094
30,Sierra Leone,11/2014,695.1111111111111,687.6444444444444,373.87254901960785,8.6,18.58823529411765,210.81372549019608
